Column_1,Column_2,Country,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
39,63,IQ,1607,23,1739,47,1621,96,1456,+5,+25,+8,+43,+11,+68,−10,−38,−15,−31,+19,+103,758,138,231,389,358,189,211,1198,706
40,66,BA,1594,20,1806,53,1626,90,1469,+3,+22,+11,+77,+13,+68,+22,+116,−16,−41,−34,−154,279,117,136,26,104,111,64,393,385
41,68,NZ,1585,29,1641,66,1499,103,1335,−1,0,−6,−2,−6,−10,+7,+60,+15,+100,+10,+66,439,135,189,115,181,179,79,767,645
42,71,SA,1568,29,1736,76,1501,125,1256,−6,−24,−9,−19,−5,+6,−12,−45,−7,−7,+5,+41,835,322,151,362,396,245,194,1281,892
43,72,CV,1549,65,1579,120,1301,146,1172,+1,−12,+2,+5,+8,+45,−7,−30,+22,+108,+15,+53,251,80,91,80,94,97,60,267,278
44,77,HT,1532,37,1674,81,1417,129,1265,−1,−10,+6,+44,−6,−21,+6,+39,−10,−28,+9,+32,561,181,196,184,246,197,118,957,759
45,79,ZA,1524,7,1847,32,1708,99,1448,−5,−26,−3,−2,−19,−74,−13,−47,+6,+46,−17,−57,524,275,161,88,231,141,152,719,542
46,82,GH,1505,10,1877,42,1651,101,1424,−2,−4,0,+16,+7,+43,0,+5,−26,−100,−34,−130,777,247,296,234,370,212,195,1247,820
47,90,CW,1436,26,1618,97,1381,188,1011,−3,−30,+14,+29,+38,+113,+34,+99,+6,+3,+86,+311,498,173,176,149,201,173,124,879,767
48,95,QA,1425,26,1771,93,1416,164,965,−2,0,−11,−62,−12,−73,−44,−222,−49,−219,−24,−125,697,328,146,223,289,232,176,993,825
