Team,Elo
Spain,2144
Argentina,2124
France,2072
England,2021
Brazil,1986
Portugal,1983
Colombia,1991
Netherlands,1953
Ecuador,1901
Germany,1941
Norway,1930
Croatia,1909
Turkey,1872
Japan,1913
Belgium,1881
Uruguay,1871
Switzerland,1883
Mexico,1889
Senegal,1841
Paraguay,1832
Austria,1834
Morocco,1847
Canada,1784
Scotland,1775
Australia,1781
Iran,1769
Algeria,1779
Korea,1761
Czechia,1718
Panama,1700
USA,1763
Uzbekistan,1704
Sweden,1716
Egypt,1713
Ivory Coast,1712
Jordan,1660
Congo,1659
Tunisia,1612
Iraq,1601
Bosnia and Herzegovina,1598
Cabo Verde,1602
Saudi Arabia,1586
New Zealand,1561
Haiti,1540
South Africa,1522
Ghana,1546
Curaçao,1445
Qatar,1430
